status,src_field,src_type,bcv_field,bcv_type,size,usage:ETL,usage:SOS,usage:Insights,usage:Arena,usage:LQS,usage:CP,usage:AF,usage:Others,recommended_action
MATCHED,request__context__profile_trait,varchar,request__context__profile_trait,varchar,,,,,,,,,,
MATCHED,request__context__profile_trait__pre_selection_external_ad_timeout,integer,request__context__profile_trait__pre_selection_external_ad_timeout,integer,,,,,,,,,,
MATCHED,request__context__profile_trait__post_selection_external_ad_timeout,integer,request__context__profile_trait__post_selection_external_ad_timeout,integer,,,,,,,,,,
MATCHED,request__context__standard_app_id,bigint,request__context__standard_app_id,bigint,,,,,,,,,,
MATCHED,request__context__standard_site_domain_id,bigint,request__context__standard_site_domain_id,bigint,,,,,,,,,,
MATCHED,request__context__standard_content_subscription_model_id,bigint,request__context__standard_content_subscription_model_id,bigint,,,,,,,,,,
MATCHED,request__context__transcode_package_id,integer,request__context__transcode_package_id,integer,,,,,,,,,,
MATCHED,request__context__standard_ssp_channel_id,bigint,request__context__standard_ssp_channel_id,bigint,,,,,,,,,,
MATCHED,request__context__stream_mode_ids,array(integer),request__context__stream_mode_ids,array(integer),,,,,,,,,,
MATCHED,request__context__standard_content_credential_status_id,bigint,request__context__standard_content_credential_status_id,bigint,,,,,,,,,,
MATCHED,request__context__standard_iab_category_ids,array(bigint),request__context__standard_iab_category_ids,array(bigint),,,,,,,,,,
MATCHED,request__context__standard_content_territory_id,bigint,request__context__standard_content_territory_id,bigint,,,,,,,,,,
DIFF,request__context__casu_id,varchar,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__context__standard_movie_rating_id,bigint,request__context__standard_movie_rating_id,bigint,,,,,,,,,,
MATCHED,request__context__standard_app_bundle_id,bigint,request__context__standard_app_bundle_id,bigint,,,,,,,,,,
MATCHED,request__context__standard_privacy_id,bigint,request__context__standard_privacy_id,bigint,,,,,,,,,,
MATCHED,request__context__standard_addressability_ids,array(bigint),request__context__standard_addressability_ids,array(bigint),,,,,,,,,,
MATCHED,request__context__standard_content_viewership_profile_ids,array(bigint),request__context__standard_content_viewership_profile_ids,array(bigint),,,,,,,,,,
MATCHED,request__context__standard_sport_entity_ids,array(bigint),request__context__standard_sport_entity_ids,array(bigint),,,,,,,,,,
MATCHED,request__context__video_cro_network_id,bigint,request__context__video_cro_network_id,bigint,,,,,,,,,,
MATCHED,request__context__video_cro_context_id,bigint,request__context__video_cro_context_id,bigint,,,,,,,,,,
DIFF,request__context__video_cro_context_group_id,bigint,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__context__video_cro_asset_id,bigint,request__context__video_cro_asset_id,bigint,,,,,,,,,,
MATCHED,request__context__video_cro_site_id,bigint,request__context__video_cro_site_id,bigint,,,,,,,,,,
DIFF,request__context__video_cro_yield_optimization_ids,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__context__video_cro_pre_targeting_yield_optimization_ids,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__context__video_cro_selected_yield_optimization_infos,array(varchar),request__context__video_cro_selected_yield_optimization_infos,array(varchar),,,,,,,,,,
MATCHED,request__context__video_cro_selected_yield_optimization_infos__sub_yo_id,array(bigint),request__context__video_cro_selected_yield_optimization_infos__sub_yo_id,array(bigint),,,,,,,,,,
MATCHED,request__context__video_cro_selected_yield_optimization_infos__nested_sub_yo_ids,array(array(bigint)),request__context__video_cro_selected_yield_optimization_infos__nested_sub_yo_ids,array(array(bigint)),,,,,,,,,,
DIFF,request__context__video_cro_selected_yield_optimization_infos__sub_yo_type,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__context__video_cro_pre_targeting_yield_optimization_infos,array(varchar),request__context__video_cro_pre_targeting_yield_optimization_infos,array(varchar),,,,,,,,,,
MATCHED,request__context__video_cro_pre_targeting_yield_optimization_infos__sub_yo_id,array(bigint),request__context__video_cro_pre_targeting_yield_optimization_infos__sub_yo_id,array(bigint),,,,,,,,,,
MATCHED,request__context__video_cro_pre_targeting_yield_optimization_infos__nested_sub_yo_ids,array(array(bigint)),request__context__video_cro_pre_targeting_yield_optimization_infos__nested_sub_yo_ids,array(array(bigint)),,,,,,,,,,
DIFF,request__context__video_cro_pre_targeting_yield_optimization_infos__sub_yo_type,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__context__site_section_cro_network_id,bigint,request__context__site_section_cro_network_id,bigint,,,,,,,,,,
MATCHED,request__context__site_section_cro_asset_id,bigint,request__context__site_section_cro_asset_id,bigint,,,,,,,,,,
DIFF,request__context__site_section_cro_asset_group_id,bigint,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__context__site_section_cro_site_id,bigint,request__context__site_section_cro_site_id,bigint,,,,,,,,,,
DIFF,request__context__site_section_cro_parsed_site_section_id,bigint,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__context__rbp_device_type,varchar,request__context__rbp_device_type,varchar,,,,,,,,,,
MATCHED,request__context__distributor_video_asset_id,bigint,request__context__distributor_video_asset_id,bigint,,,,,,,,,,
DIFF,request__context__distributor_video_asset_group_id,bigint,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__context__distributor_site_section_id,bigint,request__context__distributor_site_section_id,bigint,,,,,,,,,,
MATCHED,request__context__distributor_site_section_group_id,bigint,request__context__distributor_site_section_group_id,bigint,,,,,,,,,,
MATCHED,request__context__profile_type,varchar,request__context__profile_type,varchar,,,,,,,,,,
DIFF,request__context__extracted_key_value,varchar,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__context__extracted_key_value___fw_dbp,varchar,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__context__extracted_key_value___fw_lto,varchar,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__context__tv_network_group_ids,array(bigint),request__context__tv_network_group_ids,array(bigint),,,,,,,,,,
MATCHED,request__magnifier,integer,request__magnifier,integer,,,,,,,,,,
MATCHED,request__scores,array(varchar),request__scores,array(varchar),,,,,,,,,,
MATCHED,request__scores__network_id,array(bigint),request__scores__network_id,array(bigint),,,,,,,,,,
DIFF,request__scores__ad_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__scores__flag,array(integer),request__scores__flag,array(integer),,,,,,,,,,
MATCHED,request__scores__score,array(bigint),request__scores__score,array(bigint),,,,,,,,,,
MATCHED,request__candidates,array(bigint),request__candidates,array(bigint),0.25,,,,,,,,,
MATCHED,request__networks,varchar,request__networks,varchar,,,,,,,,,,
MATCHED,request__cbp,varchar,request__cbp,varchar,,,,,,,,,,
DIFF,request__cbp__network_id,bigint,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__cbp__slot_template_id,bigint,request__cbp__slot_template_id,bigint,,,,,,,,,,
DIFF,request__private_data_accessible_networks,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__server_id,varchar,request__server_id,varchar,0.04,,,,,,,,,
DIFF,request__vod_session_id,varchar,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__identifier,varchar,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__identifier__source,varchar,,,0.78,,,,,,,,,No Backfill - Low Usage
DIFF,request__identifier__sequence,bigint,,,0.12,,,,,,,,,No Backfill - Low Usage
DIFF,request__process_timestamp,bigint,,,0.05,,,,,,,,,No Backfill - Low Usage
MATCHED,request__time_record,varchar,request__time_record,varchar,,,,,,,,,,
MATCHED,request__time_record__total,integer,request__time_record__total,integer,0.03,,,,,,,,,
DIFF,request__time_record__external_creative,integer,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__time_record__external_candidate,integer,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__time_record__external_playlist_notification,integer,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__time_record__external_sds,integer,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__soft_guaranteed_ad,array(varchar),request__soft_guaranteed_ad,array(varchar),,,,,,,,,,
MATCHED,request__soft_guaranteed_ad__ad_id,array(bigint),request__soft_guaranteed_ad__ad_id,array(bigint),,,,,,,,,,
MATCHED,request__soft_guaranteed_ad__num_competing_ads,array(integer),request__soft_guaranteed_ad__num_competing_ads,array(integer),,,,,,,,,,
MATCHED,request__soft_guaranteed_ad__network_id,array(bigint),request__soft_guaranteed_ad__network_id,array(bigint),,,,,,,,,,
MATCHED,request__soft_guaranteed_ad__entity_type,array(varchar),request__soft_guaranteed_ad__entity_type,array(varchar),,,,,,,,,,
MATCHED,request__soft_guaranteed_ad__entity_id,array(bigint),request__soft_guaranteed_ad__entity_id,array(bigint),,,,,,,,,,
DIFF,request__phantom_candidate,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__phantom_candidate__ad_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__phantom_candidate__slot_custom_id,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__phantom_candidate__creative_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__phantom_candidate__rendition_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__phantom_candidate__position_in_slot,array(integer),,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__userdb_audience_user_info,varchar,request__userdb_audience_user_info,varchar,,,,,,,,,,
DIFF,request__userdb_audience_user_info__num_keys,integer,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__userdb_audience_user_info__dx_alias_growth_ratio,double,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__userdb_audience_user_info__bg_alias_growth_ratio,double,request__userdb_audience_user_info__bg_alias_growth_ratio,double,,,,,,,,,,
DIFF,request__userdb_audience_user_info__num_dx_enriched_keys,integer,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__userdb_audience_user_info__num_dx_enriched_alias_ids,integer,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__userdb_audience_user_info__dx_query_key,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__userdb_audience_user_info__dx_query_key__set,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__userdb_audience_user_info__dx_query_key__key,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__userdb_audience_user_info__bg_query_key,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__userdb_audience_user_info__bg_query_key__set,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__userdb_audience_user_info__bg_query_key__key,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__extra_flags,bigint,request__extra_flags,bigint,,,,,,,,,,
DIFF,request__network_data_visibility_config,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__network_data_visibility_config__network_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__network_data_visibility_config__visible_data_fields_mask,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__network_data_visibility_config__geo_visibility,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__network_data_visibility_config__user_agent_visibility,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__network_data_visibility_config__visitor_custom_id_visibility,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__network_data_visibility_config__key_value_visibility,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__network_data_visibility_config__device_id_visibility,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__network_data_visibility_config__ip_visibility,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__network_data_visibility_config__data_right,array(array(varchar)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__network_data_visibility_config__data_right__field,array(array(varchar)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__network_data_visibility_config__data_right__right,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__kafka_msg_key,varchar,request__kafka_msg_key,varchar,0.65,,,,,,,,,
MATCHED,request__delivery_method,varchar,request__delivery_method,varchar,,,,,,,,,,
MATCHED,request__multiplier,integer,request__multiplier,integer,,,,,,,,,,
MATCHED,request__guaranteed_deal_avail,array(varchar),request__guaranteed_deal_avail,array(varchar),,,,,,,,,,
MATCHED,request__guaranteed_deal_avail__internal_deal_id,array(bigint),request__guaranteed_deal_avail__internal_deal_id,array(bigint),,,,,,,,,,
MATCHED,request__guaranteed_deal_avail__buyer_id,array(bigint),request__guaranteed_deal_avail__buyer_id,array(bigint),,,,,,,,,,
DIFF,request__gateway_source_filepath,varchar,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__decision_info,varchar,request__decision_info,varchar,,,,,,,,,,
MATCHED,request__decision_info__flag1,integer,request__decision_info__flag1,integer,,,,,,,,,,
MATCHED,request__decision_info__flag2,integer,request__decision_info__flag2,integer,,,,,,,,,,
MATCHED,request__decision_info__value1,integer,request__decision_info__value1,integer,,,,,,,,,,
DIFF,request__decision_info__reject_ads,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__decision_info__reject_ads__ad_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__decision_info__reject_ads__ad_reason,array(integer),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__decision_info__reject_ads__slot_reason,array(integer),,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__decision_info__value2,integer,request__decision_info__value2,integer,,,,,,,,,,
MATCHED,request__decision_info__flag3,integer,request__decision_info__flag3,integer,,,,,,,,,,
MATCHED,request__decision_info__value3,bigint,request__decision_info__value3,bigint,0.04,,,,,,,,,
MATCHED,request__decision_info__value4,bigint,request__decision_info__value4,bigint,,,,,,,,,,
MATCHED,request__decision_info__value5,bigint,request__decision_info__value5,bigint,,,,,,,,,,
MATCHED,request__decision_info__value6,bigint,request__decision_info__value6,bigint,,,,,,,,,,
MATCHED,request__decision_info__external_bridge,array(varchar),request__decision_info__external_bridge,array(varchar),,,,,,,,,,
MATCHED,request__decision_info__external_bridge__slot_index,array(integer),request__decision_info__external_bridge__slot_index,array(integer),,,,,,,,,,
MATCHED,request__decision_info__external_bridge__status,array(integer),request__decision_info__external_bridge__status,array(integer),,,,,,,,,,
MATCHED,request__decision_info__value7,integer,request__decision_info__value7,integer,,,,,,,,,,
MATCHED,request__decision_info__flag4,integer,request__decision_info__flag4,integer,,,,,,,,,,
MATCHED,request__decision_info__value8,integer,request__decision_info__value8,integer,,,,,,,,,,
DIFF,request__decision_info__decision_log,varchar,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__decision_info__networks,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__decision_info__value9,bigint,request__decision_info__value9,bigint,,,,,,,,,,
MATCHED,request__decision_info__value10,bigint,request__decision_info__value10,bigint,,,,,,,,,,
MATCHED,request__decision_info__value11,bigint,request__decision_info__value11,bigint,,,,,,,,,,
MATCHED,request__decision_info__value12,bigint,request__decision_info__value12,bigint,,,,,,,,,,
MATCHED,request__decision_info__value13,bigint,request__decision_info__value13,bigint,,,,,,,,,,
MATCHED,request__decision_info__value14,integer,request__decision_info__value14,integer,,,,,,,,,,
MATCHED,request__decision_info__inventory_protections,array(varchar),request__decision_info__inventory_protections,array(varchar),,,,,,,,,,
MATCHED,request__decision_info__inventory_protections__level,array(integer),request__decision_info__inventory_protections__level,array(integer),,,,,,,,,,
MATCHED,request__decision_info__inventory_protections__scope,array(integer),request__decision_info__inventory_protections__scope,array(integer),,,,,,,,,,
MATCHED,request__decision_info__inventory_protections__separation,array(integer),request__decision_info__inventory_protections__separation,array(integer),,,,,,,,,,
MATCHED,request__decision_info__value15,bigint,request__decision_info__value15,bigint,,,,,,,,,,
DIFF,request__scte_message_id,varchar,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__mrc_compliance_label,array(varchar),request__mrc_compliance_label,array(varchar),,,,,,,,,,
MATCHED,request__dro_network_id,bigint,request__dro_network_id,bigint,,,,,,,,,,
DIFF,request__xdevice_killed_placement,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__server_group,varchar,request__server_group,varchar,,,,,,,,,,
MATCHED,request__audience_flags,bigint,request__audience_flags,bigint,,,,,,,,,,
MATCHED,request__is_data_right_enabled,boolean,request__is_data_right_enabled,boolean,,,,,,,,,,
MATCHED,request__geo_data_provider_id,bigint,request__geo_data_provider_id,bigint,,,,,,,,,,
MATCHED,request__privacy_info,varchar,request__privacy_info,varchar,,,,,,,,,,
MATCHED,request__privacy_info__compliance_flag,integer,request__privacy_info__compliance_flag,integer,,,,,,,,,,
MATCHED,request__privacy_info__impacted_features_flag,integer,request__privacy_info__impacted_features_flag,integer,,,,,,,,,,
MATCHED,request__privacy_info__gdpr_flag,integer,request__privacy_info__gdpr_flag,integer,,,,,,,,,,
DIFF,request__privacy_info__gdpr_cmp_id,integer,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__privacy_info__gpp,varchar,request__privacy_info__gpp,varchar,,,,,,,,,,
MATCHED,request__privacy_info__gpp__flag,integer,request__privacy_info__gpp__flag,integer,,,,,,,,,,
MATCHED,request__privacy_info__gpp__section,integer,request__privacy_info__gpp__section,integer,,,,,,,,,,
DIFF,request__gateway_ingested_supply_cost,double,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__traffic_compliance,varchar,request__traffic_compliance,varchar,,,,,,,,,,
MATCHED,request__traffic_compliance__endpoint_id,integer,request__traffic_compliance__endpoint_id,integer,,,,,,,,,,
MATCHED,request__traffic_compliance__mrc_compliance_flag,integer,request__traffic_compliance__mrc_compliance_flag,integer,,,,,,,,,,
MATCHED,request__traffic_compliance__mrc_non_compliance_type,integer,request__traffic_compliance__mrc_non_compliance_type,integer,,,,,,,,,,
DIFF,request__traffic_compliance__endpoint_flag,integer,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__network_ctx,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__network_ctx__network_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__log_version,varchar,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__log_version__major_version,integer,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__log_version__major_release_version,integer,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__log_version__minor_release_version,integer,,,,,,,,,,,,No Backfill - Low Usage
DIFF,request__log_version__build,integer,,,,,,,,,,,,No Backfill - Low Usage
MATCHED,request__prebid_sivt,varchar,request__prebid_sivt,varchar,,,,,,,,,,
MATCHED,request__prebid_sivt__sivt_model,integer,request__prebid_sivt__sivt_model,integer,,,,,,,,,,
MATCHED,request__prebid_sivt__gateway_response,varchar,request__prebid_sivt__gateway_response,varchar,,,,,,,,,,
MATCHED,request__prebid_sivt__inhouse,varchar,request__prebid_sivt__inhouse,varchar,,,,,,,,,,
MATCHED,request__prebid_sivt__inhouse__traffic_valid,boolean,request__prebid_sivt__inhouse__traffic_valid,boolean,,,,,,,,,,
MATCHED,request__prebid_sivt__inhouse__invalid_reason,integer,request__prebid_sivt__inhouse__invalid_reason,integer,,,,,,,,,,
MATCHED,request__prebid_sivt__inhouse__is_whitelisted,boolean,request__prebid_sivt__inhouse__is_whitelisted,boolean,,,,,,,,,,
MATCHED,request__prebid_sivt__whiteops,varchar,request__prebid_sivt__whiteops,varchar,,,,,,,,,,
MATCHED,request__prebid_sivt__whiteops__traffic_valid,boolean,request__prebid_sivt__whiteops__traffic_valid,boolean,,,,,,,,,,
MATCHED,request__prebid_sivt__whiteops__invalid_reason,integer,request__prebid_sivt__whiteops__invalid_reason,integer,,,,,,,,,,
MATCHED,request__prebid_sivt__whiteops__lookup_id,varchar,request__prebid_sivt__whiteops__lookup_id,varchar,0.57,,,,,,,,,
MATCHED,request__prebid_sivt__capnedit,varchar,request__prebid_sivt__capnedit,varchar,,,,,,,,,,
MATCHED,request__prebid_sivt__capnedit__traffic_valid,boolean,request__prebid_sivt__capnedit__traffic_valid,boolean,,,,,,,,,,
MATCHED,request__prebid_sivt__capnedit__invalid_reason,integer,request__prebid_sivt__capnedit__invalid_reason,integer,,,,,,,,,,
MATCHED,request__linear_capnedit,array(varchar),request__linear_capnedit,array(varchar),,,,,,,,,,
MATCHED,request__linear_capnedit__device_id,array(varchar),request__linear_capnedit__device_id,array(varchar),,,,,,,,,,
MATCHED,request__linear_capnedit__active_state,array(boolean),request__linear_capnedit__active_state,array(boolean),,,,,,,,,,
MATCHED,request__linear_capnedit__tune_time,array(bigint),request__linear_capnedit__tune_time,array(bigint),,,,,,,,,,
